date,city,state,event_name
2/1/17,St. Louis,MO,NHL Winter Classic
4/1/17,New York,NY,National Board of Review of Motion Pictures Awards Gala
5/1/17,New York,NY,Winter Jazzfest NYC
5/1/17,Las Vegas,NV,International Consumer Electronics Show (CES)
5/1/17,New York,NY,Jazz Connect Conference
6/1/17,New York,NY,Winter Jazzfest NYC
6/1/17,Las Vegas,NV,International Consumer Electronics Show (CES)
6/1/17,New York,NY,Jazz Connect Conference
6/1/17,New York,NY,APAP conference
7/1/17,New York,NY,Winter Jazzfest NYC
7/1/17,Las Vegas,NV,International Consumer Electronics Show (CES)
7/1/17,New York,NY,APAP conference
8/1/17,New York,NY,Winter Jazzfest NYC
8/1/17,Las Vegas,NV,International Consumer Electronics Show (CES)
8/1/17,New York,NY,APAP conference
9/1/17,New York,NY,Winter Jazzfest NYC
9/1/17,New York,NY,APAP conference
9/1/17,Tampa,FL,CFP National Championship Game
10/1/17,New York,NY,Winter Jazzfest NYC
10/1/17,New York,NY,APAP conference
11/1/17,Crested Butte,CO,Mountain High Music Festival
11/1/17,New York,NY,Intelligence Squared U.S. Spring Season Opening Debate
12/1/17,Crested Butte,CO,Mountain High Music Festival
13/1/2017,Crested Butte,CO,Mountain High Music Festival
13/1/2017,Santa Rosa Beach,FL,30A Songwriters Festival
14/1/2017,Crested Butte,CO,Mountain High Music Festival
14/1/2017,Santa Rosa Beach,FL,30A Songwriters Festival
15/1/2017,Crested Butte,CO,Mountain High Music Festival
15/1/2017,Santa Rosa Beach,FL,30A Songwriters Festival
16/1/2017,Santa Rosa Beach,FL,30A Songwriters Festival
17/1/2017,San Antonio,TX,Barbershop Harmony Society Midwinter Convention
17/1/2017,Miami Beach,FL,NATPE
18/1/2017,San Antonio,TX,Barbershop Harmony Society Midwinter Convention
18/1/2017,Miami Beach,FL,NATPE
18/1/2017,Los Angeles,CA,People's Choice Awards
19/1/2017,San Antonio,TX,Barbershop Harmony Society Midwinter Convention
19/1/2017,Miami Beach,FL,NATPE
19/1/2017,Park City,UT,Sundance Film Festival
19/1/2017,Anaheim,CA,National Association of Music Merchandise (NAMM) Show
19/1/2017,Grand Rapids,MI,Michigan Music Conference
20/1/2017,San Antonio,TX,Barbershop Harmony Society Midwinter Convention
20/1/2017,Park City,UT,Sundance Film Festival
20/1/2017,Anaheim,CA,National Association of Music Merchandise (NAMM) Show
20/1/2017,Grand Rapids,MI,Michigan Music Conference
21/1/2017,San Antonio,TX,Barbershop Harmony Society Midwinter Convention
21/1/2017,Park City,UT,Sundance Film Festival
21/1/2017,Anaheim,CA,National Association of Music Merchandise (NAMM) Show
21/1/2017,Grand Rapids,MI,Michigan Music Conference
22/1/2017,San Antonio,TX,Barbershop Harmony Society Midwinter Convention
22/1/2017,Park City,UT,Sundance Film Festival
