timestamp,AA,UA,B6,OO,AS,NK,WN,DL,HA
4/6/18,51.12,69.6501,20.12,55.7,61.44,37.8576,55.865,53.67,40.2
4/5/18,52.14,70.69,20.64,56.05,62.11,38.3,56.86,54.21,41.2
4/4/18,52.04,69.99,20.48,55.45,61.22,37.7,56.36,53.86,40.5
4/3/18,51.47,69.19,20.15,54.8,60.11,37.22,55.97,53.72,38.75
4/2/18,49.78,66.77,19.73,52.75,57.75,36.35,54.34,51.95,36.85
3/29/18,51.96,69.47,20.32,54.4,61.96,37.78,57.28,54.81,38.7
3/28/18,50.85,67.91,20.17,53.95,61.57,36.99,56.25,53.93,38.35
3/27/18,50.9,68.18,19.95,54.3,61.49,37.19,56.69,54.26,37.15
3/26/18,51.86,68.48,20.48,55.6,62.16,38.27,57.59,55.06,36.2
3/23/18,51.01,67.39,20.84,54.95,61.88,39.96,56.72,53.9,35.6
3/22/18,52.31,68.45,21.27,56.85,62.82,41.27,57,54.67,35.4
3/21/18,54.09,69.94,21.78,58.9,64.21,43.19,57.78,55.95,35.8
3/20/18,55.32,70.48,22.3,59.85,65.19,44.82,60.69,56.5,36.5
3/19/18,54.62,70.13,22.17,59.55,65.1,44.44,60.6,55.96,36.95
3/16/18,55.4,70.88,22.59,60.3,66.51,45.12,60.9,56.69,37.8
3/15/18,55.17,70.14,22.26,58.7,65.92,44.28,59.94,56.34,36.7
3/14/18,55.28,70.74,22.34,58.5,65.67,44.42,59.62,56.15,37.35
3/13/18,56.23,72.6,22.35,59.4,68.79,45.09,60.33,56.59,37.75
3/12/18,56.5,72,22.04,58.45,65.78,43.28,59.76,56.16,36.55
3/9/18,56.07,71.55,22,57.95,64.8,43,59.7,56.09,36.35
3/8/18,54.79,69.87,21.71,57.05,64.8,42.97,58.37,54.64,36.8
3/7/18,54.11,67.81,21.5,56.15,64,41.92,57.57,53.53,36
3/6/18,53.57,67.52,21.44,56.1,64.3,42.16,58.25,53.84,35.5
3/5/18,53.19,67.21,21.27,55.45,63.62,41.72,58.38,53.79,35.1
3/2/18,53.18,67.51,21.29,54.75,63.38,41.85,57.81,53.26,34.85
3/1/18,53.48,67.54,21.08,55.15,64.65,40.5,58.01,53.35,35.55
2/28/18,54.25,67.79,21.05,54.8,64.5,39.84,57.84,53.9,36
2/27/18,54.26,67.86,21.35,56.1,64.89,38.75,58.48,53.62,36.95
2/26/18,55,69.26,21.73,57.35,66.15,40.08,59.5,54.69,37.8
2/23/18,53.39,67.57,21.32,56.35,64.98,39.49,57.99,53.46,36.55
2/22/18,52.98,66.7,20.85,56.1,64.17,39.48,57.32,52.55,36.75
2/21/18,52.78,67,20.74,56.25,64.69,39.91,58.03,53.16,37.55
2/20/18,51.72,66.59,20.02,56.1,64.39,38.9,57.73,52.47,37.35
2/16/18,51.58,66.52,20.3,56.6,64.97,39.72,58.27,52.85,38.65
2/15/18,51.67,66.74,20.3,57.8,66.17,39.64,58.18,52.95,38.05
2/14/18,51.07,65.68,20.14,56.7,66.76,39.52,57.73,52.2,38.35
2/13/18,50.87,65.7,19.96,56.35,66.89,39.09,57.16,52.17,38.75
2/12/18,50.09,64.14,19.87,55.15,66.01,39.91,56.81,52.05,38.15
2/9/18,48.36,62.98,19.89,53.5,64.72,39.25,55.5,50.46,36.7
2/8/18,48.6,63.37,19.83,53.3,64.04,39.06,55.63,51.23,36.75
2/7/18,51.4,65.36,20.385,54.15,64.23,40.3,57.89,53.85,37.65
2/6/18,51.18,63.95,20.35,52.85,63.19,40.42,58.14,53.1,35.95
2/5/18,49.76,63.4,19.82,52.15,62.74,39.88,56.99,52.52,35.6
2/2/18,52.1,65.68,20.33,54.15,64.56,41.07,58.71,54.62,37.4
2/1/18,53.88,67.15,20.94,56.55,64.08,42.02,60.31,56.42,38.95
1/31/18,54.32,67.82,20.86,55.75,65.73,42.12,60.8,56.77,37.35
1/30/18,52.59,67.01,20.65,55.85,64.2,41.83,59.83,56.12,39.1
1/29/18,52.68,65.78,20.28,56.75,65.48,41.42,60.36,55.76,37.5
1/26/18,53.07,66.56,20.5,54.9,64.54,41.48,60.82,55.26,36.75
1/25/18,53.05,66.08,20.69,54,62.07,40.18,60.19,54.81,35.65
1/24/18,54.79,69.05,22.05,55.25,64.69,41.53,62.21,56.8,37.2
1/23/18,58.29,77.97,22.53,54.8,69.47,44.59,65.26,59.93,38.7
1/22/18,58.1,76.87,22.59,54.45,68.55,43.33,64.89,60.13,37.85
1/19/18,58.06,76.5,22.57,54.2,68.88,45.19,65.05,60.01,37.95
1/18/18,58.34,76.3,22.48,53.85,69.79,44.96,65.06,59.45,38.15
1/17/18,58.16,76.58,22.45,54,70.82,44.89,66.07,59.72,38.15
1/16/18,57.98,77.49,22.3,55.2,71.28,46.21,65.47,59.35,38.25
1/12/18,58.47,78.4,22.93,54.75,73.52,48.26,65.36,59.83,38.75
1/11/18,56.42,76.45,22.34,53.25,74.81,47.57,64.84,58.52,38.75
1/10/18,53.78,73.08,21.59,50.75,72.05,44.91,62.96,55.86,37.75
1/9/18,52.08,68.48,21.47,49.25,71.29,43.59,62.38,54.17,36.7
1/8/18,52.13,68.51,21.28,49.95,72.75,43.23,64,54.68,39.15
1/5/18,52.65,69.36,21.38,51.1,73.74,43.63,64.32,55.97,39.1
1/4/18,52.67,69.26,21.69,51.45,73.85,43.5,64.7,55.69,38.8
1/3/18,52.34,68.49,21.59,51.3,74.66,44.14,64.91,55.69,38.5
1/2/18,52.99,68.94,22.38,53,75.01,45.6,66.29,56.74,40.1
12/29/17,52.03,67.4,22.34,53.1,73.51,44.85,65.45,56,39.85
12/28/17,52.46,67.54,22.54,53.6,74.57,45.29,65.87,56.35,41
12/27/17,52.4,67.12,22.5,53.55,74.37,44.99,65.96,56.12,40.65
12/26/17,52.85,67.35,22.58,53.85,74.84,45.3,65.98,56.43,41.2
12/22/17,52.59,67.25,22.44,53.8,74.28,45.22,65.97,56.03,40.9
12/21/17,52.79,67.28,22.43,54.45,74.69,45.2,66.03,56.03,40.7
12/20/17,51.92,65.9,21.96,52.45,73.77,44.49,66.09,56.22,39.7
12/19/17,51.44,64.43,21.59,51.95,73.19,44.22,65.92,55.75,39.7
12/18/17,51.49,64.56,21.82,54.55,73.56,44.87,65.7,56.07,40.8
12/15/17,51.06,63.76,21.29,52.65,70.83,43.19,64.7,56.1,40.05
12/14/17,50.21,63.13,21.18,52.15,69.39,42.84,63.85,55.25,39.3
12/13/17,50.09,63.03,21.49,52.5,69.02,43.3,63.14,53.63,40.05
12/12/17,50.47,63.36,21.59,52.95,69.8,43.33,63.43,53.62,40.05
12/11/17,51.3,64.24,22.19,53.85,69.72,42.89,63.32,54.37,40.15
12/8/17,51.02,63.55,22.08,52.5,69.74,43.64,63.33,53.46,40.45
12/7/17,50.88,63.53,21.87,51.65,69.37,42.89,63.02,53.41,41.4
12/6/17,49.61,62.19,21.62,51.4,67.83,42.2,61.12,52.3,39.6
12/5/17,49.47,62.2,21.66,50.95,68.1,42.87,61.72,52.39,39.85
12/4/17,49.93,62.59,21.97,51.3,68.28,43.41,62.03,52.91,42.5
12/1/17,49,62.57,21.31,50.8,66.91,42.62,59.92,52.06,40.9
11/30/17,50.49,63.32,21.47,52.05,69.17,42.63,60.67,52.92,43.15
11/29/17,49.25,62.09,20.96,51.6,69.11,40.86,58.88,52.1,41.2
11/28/17,49.22,60.19,20.12,50.8,67.29,39.12,56.17,50.58,39.25
11/27/17,48.42,59.09,19.68,49.65,65.36,38.08,54.6,49.59,38.9
11/24/17,48.56,59.43,19.84,50,65.4,38.17,55.14,50.11,39.15
11/22/17,48.66,59.69,19.9,50.4,65.58,37.6,55.09,50.41,38.6
11/21/17,48.65,59.71,19.98,51.4,66.19,37.39,55.43,50.67,38.25
11/20/17,47.69,58.76,19.78,50.65,66.1,36.35,54.65,49.79,37.95
11/17/17,47.39,58.2,19.99,50.3,66.4,36.39,54.71,49.82,37.6
11/16/17,47.68,58.68,20.26,49.6,65.87,37.16,55.27,50.45,38.85
11/15/17,47.19,57.49,20.15,48.1,64.44,37.24,54.63,49.33,37.2
11/14/17,45.81,57.2,19.63,47.65,61.68,36.26,53.75,48.9,36.5
11/13/17,45.74,57.81,18.95,45.95,61.72,35.28,53.25,48.86,36.5
11/10/17,45.82,58.52,18.99,45.9,62.42,35.82,53.49,48.89,36.15
11/9/17,45.77,58.39,18.83,45.8,62.38,34.95,53.46,49.19,32.85
11/8/17,46.37,58.92,18.8,46.2,62.08,34.79,54.01,50.06,33.05
11/7/17,46.46,58.71,18.92,46.5,62.2,35.05,53.87,49.91,33.2
11/6/17,47.51,59.92,19.32,47,63.94,36.29,54.52,50.57,33.5
11/3/17,47.45,59.65,19.19,45.75,63.65,36.13,54.14,50.4,33.5
11/2/17,47.36,58.27,18.92,46.75,63.65,35.52,53.99,50.34,33
11/1/17,47.84,58.64,18.95,47.05,65.78,36.64,53.99,50.35,33.55
10/31/17,46.82,58.48,19.15,47.1,66.03,37.09,53.86,50.03,33.5
10/30/17,47.25,59.04,18.94,46.45,66.46,36.92,54.73,50.33,33.45
10/27/17,47.56,60.25,19.38,45.65,66.58,36.94,54.11,50.56,33.9
10/26/17,48.61,59.95,19.59,46.05,65.38,36.08,55.11,50.93,33.75
10/25/17,51.02,59.92,19.72,43.2,68.98,33.74,57.1499,52.235,35.95
10/24/17,51.95,59.91,20.62,45.2,79.39,34.41,58.8,53.18,37.05
10/23/17,50.98,59.1,19.88,44.75,78.74,34.11,58.76,52.28,38.5
10/20/17,51.93,59.9,20.35,46.15,79.69,33.81,59.37,53.27,41.6
10/19/17,51.51,59.78,20.34,45.35,78.83,33.68,58.63,52.27,40.05
10/18/17,52.03,67.99,20.07,46.15,80.43,34.83,58.83,52.86,40.15
10/17/17,52.07,67.51,20.18,46.35,80.52,34.87,58.73,52.76,39.8
10/16/17,52.27,66.95,20.24,45.7,80.47,33.47,58.88,53.62,38.95
10/13/17,52.7,67.57,20.37,46.65,80.96,33.8,59.12,53.96,37.95
10/12/17,52.65,66.64,20.34,46.3,80.4,33.84,58.81,53.11,39
10/11/17,52.83,67.4,20.53,46,81.52,34.65,58.55,53.07,40
10/10/17,53.03,67.72,20.23,45.75,80.68,35,58.01,52.7,40.5
10/9/17,50.6,64.7,19.49,46.3,80.41,35.02,57.66,51.74,40.1
10/6/17,51.3,65.25,19.64,46.1,80.56,35.24,58.44,52.01,40.6
10/5/17,50.56,64.32,19.29,46.45,79.75,35.19,58.29,51.68,39.85
10/4/17,50.73,64.47,19.33,46.8,80.84,35.56,58.38,51.56,39.7
10/3/17,50.51,64.14,19.82,46.95,80.15,36.06,58.51,51.25,39.5
10/2/17,47.73,60.43,18.51,45.2,77.03,33.67,55.99,48.07,38.05
9/29/17,47.49,60.88,18.53,43.9,76.27,33.41,55.98,48.22,37.55
9/28/17,47.49,61.16,18.51,43.85,75.87,33.53,56.17,48.31,36.95
9/27/17,46.85,60.92,18.55,44.4,75.1,33.5,55.88,47.72,38.3
9/26/17,47.58,59.68,18.7,43.4,74.96,33.67,55.72,48.5,37.35
9/25/17,47.7,59.44,18.87,42.9,74.79,34.15,55.12,48.32,37.45
9/22/17,47.06,58.8,18.62,42.35,74.75,33.71,54.93,48.47,37.7
9/21/17,46.29,58.53,18.9,41.8,72.91,34.01,54.63,48.16,38.1
9/20/17,45.42,58.06,19.25,42.1,73,32.7,54.25,48.04,37.6
9/19/17,44.38,57.54,19.04,41,72.24,32.63,53.54,47.9,36.95
9/18/17,45.31,58.11,19.16,40.05,73.07,32.95,54.09,47.96,39.45
9/15/17,46,59.8,19.38,39.8,75.28,33.69,54.72,48.25,40.25
9/14/17,46.19,61.25,19.37,39,77.49,34.83,54.35,48.27,40.95
9/13/17,47,61.66,19.35,39.5,76.21,34.91,54.66,48.98,41.25
9/12/17,46.29,61.24,19.78,38.65,76.32,34.89,53.95,49.04,39.6
9/11/17,45.86,60.46,19.38,37.5,75.59,34.63,53.6,48.82,39.85
9/8/17,43.6,58.38,18.7,36.8,74.3,33.1,52.87,47.45,39.5
9/7/17,43.84,58.58,18.25,36.2,73.16,32.32,52.21,47.12,41.15
9/6/17,44.31,60.33,18.85,36,73.68,32.09,51.67,47.39,42.2
9/5/17,43.92,61.1,19.16,35,73.05,32.51,51.14,45.84,41.5
9/1/17,45.31,62.43,19.82,35.375,75.15,34.03,52.19,47.52,42.8
8/31/17,44.74,61.96,19.81,34.7,74.66,34.05,52.14,47.19,42.85
8/30/17,44.32,62.02,19.72,34.15,74.13,34.46,51.52,46.83,42.5
8/29/17,44.56,62.89,19.71,34.5,74.38,35.49,51.46,46.62,42.2
8/28/17,44.95,63.15,19.59,34.1,74.31,35.76,51.75,46.95,42.25
8/25/17,45.25,63.36,19.85,34.2,75.53,35.78,52.68,46.68,43.85
8/24/17,42.92,61.48,19.34,32.05,73.52,34.34,50.71,45.21,42.3
8/23/17,43.97,62.83,19.64,32.7,74.91,34.75,51.72,46.18,42.5
8/22/17,45.41,64.7,20.3,33.7,77.11,35.85,53.43,47.15,43.05
8/21/17,45.71,64.85,20.2,34.7,77.98,36.54,53.54,47.81,42.95
8/18/17,45.55,64.75,20.28,34.5,78.45,36.7,53.17,47.53,41.7
8/17/17,46.03,64.7,20.49,34.4,80.02,36.81,53.15,47.53,41.1
8/16/17,48.41,66.92,21.81,36.35,83.81,38.28,55.31,50.13,42.9
8/15/17,48.52,66.96,21.82,36.25,83.91,37.87,55.2,49.92,42.75
8/14/17,48.81,66.71,21.67,36.9,85.09,38.22,54.72,50.07,42.8
8/11/17,48.35,65.87,21.32,36.7,84.47,38.25,54.14,49.48,41.85
8/10/17,48.55,65.24,21.46,38.25,83.79,37.61,54.01,49.04,41.85
8/9/17,49.4,67.06,21.85,37,84.34,38,54.69,49.67,42.45
8/8/17,50,67.79,21.81,36.3,85.15,38.08,54.81,50.31,42.5
8/7/17,50.58,68.39,22.14,36.6,86,38.4,55.37,50.75,42.6
8/4/17,50.8,68.91,22.43,36.85,85.87,39.05,56.58,50.61,42.25
8/3/17,50.55,68.19,22.13,35.85,84.99,39.28,56.11,50.57,41.55
8/2/17,50.45,67.44,22.13,36.05,85.64,40.6,55.7,50.01,41.1
